watch_threshold_ratio,trust_threshold,uncertainty_threshold,uncertainty_penalty,trust_score_method,min_watch_threshold,alert_count,alert_rate,watch_count,watch_rate,abstain_count,abstain_rate,no_alert_count,no_alert_rate,alert_precision,alert_recall,alert_false_alarm_rate,alert_miss_rate,coverage,selective_risk,alert_only_selective_risk,alert_or_watch_selective_risk
0.6,0.1,0.5,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.1,0.5,0.5,multiplicative,0.05,46273.0,0.18477861546816599,111175.0,0.44394706577644316,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.14747260821645453,0.26454739290560186,0.1756184642232303,0.7354526070943982,0.6287256812446091,0.3202200091458767,0.3202200091458767,0.8869912606066764
0.6,0.1,0.6,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.1,0.6,0.5,multiplicative,0.05,46273.0,0.18477861546816599,111175.0,0.44394706577644316,0.0,0.0,92976.0,0.37127431875539085,0.14747260821645453,0.26454739290560186,0.1756184642232303,0.7354526070943982,0.6287256812446091,0.3202200091458767,0.3202200091458767,0.8869912606066764
0.6,0.1,0.7,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.1,0.7,0.5,multiplicative,0.05,46273.0,0.18477861546816599,111175.0,0.44394706577644316,0.0,0.0,92976.0,0.37127431875539085,0.14747260821645453,0.26454739290560186,0.1756184642232303,0.7354526070943982,0.6287256812446091,0.3202200091458767,0.3202200091458767,0.8869912606066764
0.6,0.1,0.8,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.1,0.8,0.5,multiplicative,0.05,46273.0,0.18477861546816599,111175.0,0.44394706577644316,0.0,0.0,92976.0,0.37127431875539085,0.14747260821645453,0.26454739290560186,0.1756184642232303,0.7354526070943982,0.6287256812446091,0.3202200091458767,0.3202200091458767,0.8869912606066764
0.6,0.1,0.9,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.1,0.9,0.5,multiplicative,0.05,46273.0,0.18477861546816599,111175.0,0.44394706577644316,0.0,0.0,92976.0,0.37127431875539085,0.14747260821645453,0.26454739290560186,0.1756184642232303,0.7354526070943982,0.6287256812446091,0.3202200091458767,0.3202200091458767,0.8869912606066764
0.6,0.2,0.5,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.2,0.5,0.5,multiplicative,0.05,6247.0,0.024945692106187904,151201.0,0.6037799891384212,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.15575476228589724,0.03772048846675712,0.023478713790294217,0.9622795115332429,0.6287256812446091,0.14032569483257964,0.14032569483257964,0.8869912606066764
0.6,0.2,0.6,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.2,0.6,0.5,multiplicative,0.05,6247.0,0.024945692106187904,151201.0,0.6037799891384212,0.0,0.0,92976.0,0.37127431875539085,0.15575476228589724,0.03772048846675712,0.023478713790294217,0.9622795115332429,0.6287256812446091,0.14032569483257964,0.14032569483257964,0.8869912606066764
0.6,0.2,0.7,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.2,0.7,0.5,multiplicative,0.05,6247.0,0.024945692106187904,151201.0,0.6037799891384212,0.0,0.0,92976.0,0.37127431875539085,0.15575476228589724,0.03772048846675712,0.023478713790294217,0.9622795115332429,0.6287256812446091,0.14032569483257964,0.14032569483257964,0.8869912606066764
0.6,0.2,0.8,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.2,0.8,0.5,multiplicative,0.05,6247.0,0.024945692106187904,151201.0,0.6037799891384212,0.0,0.0,92976.0,0.37127431875539085,0.15575476228589724,0.03772048846675712,0.023478713790294217,0.9622795115332429,0.6287256812446091,0.14032569483257964,0.14032569483257964,0.8869912606066764
0.6,0.2,0.9,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.2,0.9,0.5,multiplicative,0.05,6247.0,0.024945692106187904,151201.0,0.6037799891384212,0.0,0.0,92976.0,0.37127431875539085,0.15575476228589724,0.03772048846675712,0.023478713790294217,0.9622795115332429,0.6287256812446091,0.14032569483257964,0.14032569483257964,0.8869912606066764
0.6,0.3,0.5,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.5,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.6,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.6,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.7,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.7,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.8,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.8,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.9,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.9,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.5,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.5,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.6,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.6,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.7,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.7,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.8,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.8,0.5,multiplicative,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.4,0.9,0.5,subtractive,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
