bin_lower,bin_upper,count,mean_predicted_probability,observed_positive_rate
0.0,0.1,167364,0.05499971671830921,0.08430128343012834
0.1,0.2,55343,0.14156783943587542,0.1321576351119383
0.2,0.30000000000000004,19053,0.24051074926385244,0.13866582690389964
0.30000000000000004,0.4,8664,0.3697612725405099,0.19967682363804248
0.4,0.5,0,,
0.5,0.6000000000000001,0,,
0.6000000000000001,0.7000000000000001,0,,
0.7000000000000001,0.8,0,,
0.8,0.9,0,,
0.9,1.0,0,,
