watch_threshold_ratio,trust_threshold,uncertainty_threshold,uncertainty_penalty,min_watch_threshold,alert_count,alert_rate,watch_count,watch_rate,abstain_count,abstain_rate,no_alert_count,no_alert_rate,alert_precision,alert_recall,alert_false_alarm_rate,alert_miss_rate,coverage,selective_risk,alert_only_selective_risk,alert_or_watch_selective_risk
0.6,0.3,0.5,0.25,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.5,0.5,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.5,0.75,0.05,0.0,0.0,157448.0,0.6287256812446091,758.0,0.003026866434527042,92218.0,0.3682474523208638,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.6,0.25,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.6,0.5,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.6,0.75,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.7,0.25,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.7,0.5,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.7,0.75,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.8,0.25,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.8,0.5,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.8,0.75,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
0.6,0.3,0.9,0.25,0.05,0.0,0.0,157448.0,0.6287256812446091,0.0,0.0,92976.0,0.37127431875539085,0.0,0.0,0.0,1.0,0.6287256812446091,0.11300873939332351,0.11300873939332351,0.8869912606066764
